User ID,First Name,Task ID,sub,Media URL,Type,Transcript,Response,Comment 1,Comment 2,Comment 3,Comment 4,Comment 5,Comment 6
100,Steven,8,b,https://drive.google.com/open?id=1-OtSrEAEFR78R3kJWZXFBWFrPFqC28Ak&authuser=nick@gauge.io,photo,,I really like my front door key fob. It tells me what time a person enters or exits my apartment if needed.,,,,,,
100,Steven,7,a,https://drive.google.com/open?id=1-Qj-9zAocj4eM4yLhmhWaPbYcFTlpegB&authuser=nick@gauge.io,video,"So basically like I said, I only keep it for packaging. The original packaging for televisions cause theyre rather big.And if I move then its easier to Patch that way. I dont keep any any other boxes or packaging.And like I said, I have the brochures here behind me in the kitchen. Thank you.",,,,,,,
100,Steven,7,b,https://drive.google.com/open?id=1-dl5u1lUqrmohVcp43JeVovD-YYWE41p&authuser=nick@gauge.io,video,"Now moving on to the kitchen. This is where I keep all the brochures and guides. Id like I said, I do not keep.Any of the packages packaging except for the big TV and I had made some notes here.Look at this in the next video.",,,,,,,
100,Steven,7,c,https://drive.google.com/open?id=1-m6lMaUq_RwI66HAuywni27cHMQYzZxo&authuser=nick@gauge.io,video,"Hellos here and showing their boxes. The only ones that I have in the closet here. I have, I always keep the box for a TV? Cause I can always use that if I move.Usually thats what I put it in and I save the packaging only for the TV that just happens to be an extra microwave.And then this, I keptcause I dont know if I really like it. I just bought it like.We could go thats the only reason I would keep that small box.",,,,,,,
101,Wuhan,10,a,https://drive.google.com/open?id=10PjSa2OMLajptXzh-h_5GGe0AIg7hRWL&authuser=nick@gauge.io,video,"So um Im really looking at.The.Upgrading my iPhone in the next.Still, few months, Im going to.Probably do quite a bit of research before I do that to make sure I pick out the right phone.Um this.Since Im not under any in intense pressure.Im going to do some some research here.Before I make my purchase.And Ive read this article here.Which should walk me through some of the issues?Um.Some of the issues that I think are important.No theres battery life issues on one of the iPhones think its the XS has battery life issues.So Im researching that, but this is the kind of stuff I do before I embark on a new.A new phone.Probably um probably go look at the pricing.Go to AT&T wireless.Wireless.Spelled it wrong.Why are?Less.Com.And I can go in here.Look at it this website, which will show me whats available.Obviously this will take longer than.What were doing here today but this is typically how I go about it?Ill probably stick with the plan that I currently have a 30 month plan. I dont see myself dropping.Dumb.$700 on a phone.Just just not worth it, particularly lose it.That kind of stuff but.Probably go ahead and get my.Same.128 gigs think I have that.To this actually is 256.So thats great dont have to worry about.Anything.Using too much storage here and then um.But thats pretty much it, Ive got the Im going to stick with a TNT.Thats just you know, no sense in not. I like the brand and they been good to me so.Im going to stick with that, but thats basically it thats what I have planned to do terms of.My next upgrade most of the other stuff I can live with, and this is no Im not under any pressure to do this so.This will work, um probably do it after Christmas maybe February after my.Plans 30 month plan is over so I can get it to $200 trade in credit for my current iPhone 7 thats basically it.Thanks a lot.",iPhone upgrade planned for February 2019.,,,,,,
101,Wuhan,11,a,https://drive.google.com/open?id=1-vtYp5rL8nizGcUiJ7GlG7x9L33KFetT&authuser=nick@gauge.io,video,"So I may have purchased some warranties extended warranties.Long long time ago, but over the last several years in researching the value of those warranties and through Consumer Reports another independent.Consumer material, I definitely do not purchase them at this time fact I.Have my wife purchased.A computer sometime last year. I dont think thats on our listcause I dont use it.But it s a laptop and I she got it from Best Buy and I advised her not to.Include the warranty because they just Aren t, a good value in you usually dont end up using them.So.Im not a user of those of those products.",No to warranties for me,," I looked at that when I first started buying cell phones. I purchased one but canceled it midway through the life of my contact. I didn’t see the value. Plus, if I recall correctly I was interested in something that covered the loss or theft of the phone. It didn’t. This was before GPS tracking was available. In short I don’t purchase them.",,,,
101,Wuhan,8,a,https://drive.google.com/open?id=1-ij6M00GaqtKdlLWTlCRsd-uCai8W_9q&authuser=nick@gauge.io,photo,,I love having Spotify as my go to App for music. I listen to music everyday. It can’t get through the day without it. Access to millions of songs and the application work s well as long as you have a connection. You can also download songs in case aren’t gong to have a connection., I mostly listen to Spotify in car. At home I use noise canceling over ear headphones.,,,,,
101,Wuhan,8,b,https://drive.google.com/open?id=1069jk8hnNL8V4nvPp1xExAPPe0WVhaiY&authuser=nick@gauge.io,video,"I dont really have a screenshot of anything I just want I have. I love technology moment last night, I was.On my way back from Hilton **** and on the United flight back from actually drove 2.Hilton **** to Savannah to the airport had about an hour and change flight and went onto theres no Wi-Fi inside the plane.But they did what they did offer their own Wi-Fi, which I was really excited about where I could watch a documentary.On the Chicago Bears won my favorite football teams from the 80s with Walter Payton and the fridge and Mike Ditka and.McMahon, the whole crew one the greatest football teams. Ive ever experienced in love to watch during the early 80s.But the documentary was called the greatest football team ever think that was the title and then they offered who.Couple other movies are drifting and another movie, which I wasnt interested in.But that was great concert filled the gap of an hour at where you couldnt listen to music. I didnt have anything downloaded.But they did offer that and I thought that was really great and it was free so that even made it better so.That was my I love technology moment if I can think of another one, Ill post it up here thanks.",I love Technology,,,,,,
101,Wuhan,8,c,https://drive.google.com/open?id=10UgCWkzUMUFu3Ao702KKJ7IRNX2hE_hf&authuser=nick@gauge.io,video,"Posted 2 photos that are think I mentioned in an earlier either inquiry from the team leader, but the issue has been.
 Ongoing for almost probably over a month now with our FIFA 18 game it has not been downloading and Ive talked to both Microsoft and.
 EA Sports the Microsoft is the Xbox manufacturer. They have no solutions. One of the emails, saying they sent closing out my case that they had no solutions.
 And recommended then I talk to EA Sports. The disk maker the game so this is the games are actually our favorite game.
 And we have been having issues with the game since it updated earlier in the lateness spring or little late in the summer.
 Where the game requires a new update so we uninstall the program several times weve reinstalled it and it does reinstall.
 But when you try to unstick install the update the update causes the game to not launch again. So weve been back and forth.
 Between emails and phone calls with both help centers and the problem still has not resolved Ive asked them.
 New disk.
 And they want me to pay for the new disk, which I refuse to pay as it will theres nothing wrong with the disk that we have now.
 Theres an issue with the.
 Data new data transmitting onto our systems and so now theyre claiming the issue is my catch for my.
 Um.
 Through my Wi-Fi, which is not allowing the data to download so I told him that Ive had other downloads from other games.
 And theres been no issues and so there saying well theres an issue with.
 The server that.
 FIFA 18 is using in my information, which I thought was a bunch of crap because theres no issue with
 Anything with any of our other games: Minecraft, Forza, Batman, they are all downloading the updates for those particular games.
 So it all seems to point back to something on their side, which they do not want to admit.
 And if you research online theres tons and tons of people who are having the same issue.
 Only with FIFA 18, so that just its just garbage. Anyway, thats my biggest frustration and has been for a while.
 And.
 That was that was really--made me sick. Its really getting on my nerves at this point so.
 Um, I really since its you know its not like a life issue threatening issues certainly not going to.
 Alter my lifestyle. Its you know, I dont spend a whole lot of time, but it does bring me back whenyou feel like youve paid for something and youre not able to use it so it its.
 Quite.
 Unnerving sometimes so there, we go.",Frustrating issue with FIFA 18, Microsoft is saying its a software issue the software maker EA Sports is saying it my WiFi connection which is causing me to not be able to download the update properly even though this is not an issue with other software they produce. Nothing on either companies forums have a workable solutions that seem to work.,,,,,
101,Wuhan,8,d,https://drive.google.com/open?id=1-rkPt9zGSTBHHiM7viPJJL6HV__GG6W-&authuser=nick@gauge.io,photo,,Frustrating Technology Moments,,,,,,
101,Wuhan,8,e,https://drive.google.com/open?id=1-vNAZ-Lrkbepkk90ktMZ1BILXnChgYzG&authuser=nick@gauge.io,photo,,Hate Technology Moment(s).,,,,,,
101,Wuhan,7,a,https://drive.google.com/open?id=10EDUgJ8Up44Mepy0S6CqbY-9EzqYdHM8&authuser=nick@gauge.io,video,"So Ive got a couple more boxes there here in my furnace room slash storage area, which you can see its pretty crowded mess here, butWe are limited on storage what I have is a box for an LG monitor, which I showed you in an earlier video.I bought this monitor 25 inch monitor I bought it as a it was a refurbished monitor was good deal.That was, I remember keep in the box cause I was a little worried that it might not be.Something I would keep in May need to returncause. It was just too good of a deal, but its worked out fine.I have one more box, which will show you right now, its for the Dell computer it probably had the.And the kit with the keyboard in some other material in there, so we open that up and see if I left any material in there.Nervous have the plastic, but if it is for the laptop. Im not laptop, but the it was for the.For the keyboard and some probably some other accessories as you can see.See that.Thats the LG monitor that I bought quite a long ago.But since it worked out, you can see it had been repackaged there.And.Like I said, I had no trouble with it. So so I have 22 locations. I dont know what happened to our.Xbox packaging, butMy wife probably tossed that one, but um that concludes it. Those are the only boxes that I have.Um still remaining I dont know why we keep them.You know just maybe some latent hoarding tendencies who knows? Maybe theres some science behind that but great question.Definitely threw me for a loop and made me remember that I do keep boxes and I dont know if thats strange your comment, butI guess thats why you guys are doing the study. Thanks a lot and Ill answer the next question.",,,,,,,
101,Wuhan,7,b,https://drive.google.com/open?id=10hdRYd-xPiup3CylkMsz5obqeyyYH2wx&authuser=nick@gauge.io,video,"So yes, some surprisingly we do keep boxes for.Typically, we believe were going to go out of town and take the Xbox if we go on vacation or something.I do keep boxes am going to show you a few.Which is kind of keep him tucked away but then we also keep instructions and I dont know why but?For some reason we do, and sometimes they actually come in handy in case of say. My wife wants to use it or if something happens in there might be out of town and since Im the main one that sets everything up.Typically.IMO was the one that trouble shoots it, butLet me show you a couple of things here that that I have available that I can show you hear me see if I can figure out how to turn this background, I cant.Well anyway the first thing I have is our Xbox.She can see it here it has the setup instructions and it has R one we initially signed up.So thats that it has the actual gold package and you can see it has the initial setup.Schematics so you can set it up behind your.Here box TV you know just the basics that if we did take it. We did take it in one trip for Christmas.And we set it up at a Cousins House. So it was, it was, it came in handy havent used it since but.Its still here. We also travel with our Comcast quite a bit so I keep that in the box because it.Helps us keep the cords together. Obviously we keep all of our disks in their original jacket. Im not sure if thats what youre looking for but we do that.And here we have the?The.Box for our controllers those things are not cheap and we do not want them to get destroyed so.Definitely keeping knows just for.Just for general purposes and believe we have some old.Stuff skylanders, some of these figures are small, you do not want them to be on the floor.If they dont cut your foot.They definitely hurt and you will destroy them and I think Ive got another one pretty sure I do.Maybe a toasted.Well, we did have the Xbox.Somewhere maybe my wife tossed it.But Ive got another one, Im going to do that in a separate video so but thats we do keep the boxes.And.Who thought Id never thought about?The fact that I called him and I kept them thanks.",,,,,,,
108,Penny,10,a,https://drive.google.com/open?id=10iVkfp_bUhlIBA_6AgsmgYYvGh2U0mEM&authuser=nick@gauge.io,video,"OK.So Im gonna try doing a selfie video this.Shopping process because I would not normally do this on my phone at least not.The whole process and I probably.But spendSeveral hours and or days, depending on how busy I was.Looking for a new product, but in this case. Ill walk you through the process. We went through if our last laptop computer.Which is actually part daughter to **** to college so ever good product search starts with a Google search so?In this case, I search.Best laptop for college students.Um.If it were not for college student I might do something else but um.So this is restarted honestly when I do this. Im not just looking for products and prices, but Im also looking for.10. Best college student laptops by PC mag or collegechoice.net best laptops and I do understand that many of these sites.Happy placement for product.But I tried to look at several to see what they might have in common.And then if I find one or 2 in comment or.Features that include comportment, then move on and start and looked at product on say Amazon so in this case, I have.Yeah, 3 different products that are prep like.Key focus.Im so Ill click on new shop on Amazon and see what happens.Um.Course Amazon will show me the product.Show me the future. Show me the stars now, I see here that even though this product is recommended by.College choice or some, such thing it only gets a 3 star review from viewers on Amazon. So then I might look at similar products or?Um.Not much sponsored products customers review this also view these for example.Once I kind of however products.And that would be you know, perhaps.Perhaps.Not this Lenovo, but maybe this one that has 4 star review.And has various features.I will look at it on Amazon that I would also open a new tab and I would **** over.2.Probably hopes.Best Buy.And then I will go to Best Buy and look for a Lenovo laptop.As you can imagine yes, they will have the laptop. Um theyll show it to me really what Im doing here is looking for reviews.Are.Reviews.Sorry typing andNow we have the same time, so I might look at Best Buy and see how many views is in my pocket.Um.You know when.I may even look then lay on target.com other sites just to see if prices are comfortable.Target has a red card and I can get discount there look at shipping options in the case of this laptop, though I may also do.A pick up today.Because this is not actually for me, it is for my child and she may wish to look at this product before we buy it.In the case of the laptop in question, we did. In fact go look at it at the Best Buy Town and store.In the store and we bought it at the store.Now I can show you.For example, I think if we click on this you can see that there are.Protection plans listed Amazon does the same I can tell you looking at this.An $800 laptop.And a 3 year protection plan turns $70 it seems fairly steep to me.Probably would not buy that just because the hospital is service at cetera. It might be actually cheaper and easier to buy a new laptop.I have not, but service plans recently specially for computers, although I have bought them in the past for cell phones.And Ive done by one once the password television so thats the really quick tour. But like I said my process would be first to Google.The products because Google answers all questions check out a few review websites look for devices in common.Look them up on Amazon let them out on some other similar sites such as Best Buy Target on Mitra phone AT&T store.And just see what other people think look at the features.You know for laptops of course, theres light processing speed ram theres.All is the screen size, weight mean theres just a lot of things to look at but thats why the Google search helps think Im narrow those things down, sometimes because theres so many features sometimes it can be overwhelming.But thats kind of processor nutshell.",I recorded a video of my process to look for a new laptop for my daughter. Video seemed easier than screen capture and honestly I would not typically do a lot of research on my phone. Too small and the browsers aren’t as easy to work in.," A plan like that might be appealing since it’s sort of an umbrella covering everything. I feel like it would have to have limitations on age of devices, or perhaps have a deductible or per use fee? I have seen options like this for home appliances. There are a lot of questions in my mind, but I might consider a plan like this if it was affordable and provided reasonable coverage.",,," Just a couple more thoughts. I try to buy the newest technology that I can afford, and also the highest level of features. In the case of the laptop this meant most RAM, largest solid state hard drive, and fastest processor. This is so the computer will last the whole four years (hopefully)! My daughter is pretty careful with her things and she can get support from her college IT team. These are some of the reasons we elected not to get the service plan/extended warranty. Also, the cost was pretty substantial and she would have to take it to a store for repair. No in home support is available.",,
108,Penny,8,a,https://drive.google.com/open?id=10EyKjXek2HSCOoEepyMKhF-KooKY0GoE&authuser=nick@gauge.io,photo,,"This is my nightmare. It requires at least two remotes to turn on anything because the “universal” remote controls volume but no other features if the receiver. Add in that I accidentally hit the off button instead of the on button on said universal remote...it took three remotes to get my DirectTV on so I could record a show 😒 I did in fact try to use the app on my phone instead, which should be much quicker. But for some reason the app would.not.load."," Lol, definitely!",,,,,
108,Penny,8,b,https://drive.google.com/open?id=10FNjb7fMmBe-KcxsRUGLfdSE8_rIYd6x&authuser=nick@gauge.io,photo,,"So apparently this TV and receiver talk to each other and I don’t have to tell the receiver which source is playing sound! Who knew? And a lifesaver when trying to start the dvd for my 4 nieces and nephew, all under the age of 10. Patience is not their virtue",,,,,,
108,Penny,7,a,https://drive.google.com/open?id=10LZIzDRSUefqzmNzg1H0CaXtLGw6mtJE&authuser=nick@gauge.io,photo,,"This is an old stash of tech boxes. We have not owned these items in many years 😵 My husband is a big box saver, you know in case you have to send it for repair. Cause that’s (not) a thing. We no longer keep boxes for anything and I also don’t keep use red manuals. They are online and it’s easier and quicker to find them there. Plus they sometimes have updates that your printed version didn’t. And websites have troubleshooting and FAQ sections.
 
 If you want to know why those boxes are still there, it’s because I’m afraid if the spiders that live in the basement.",,,,,,
128,Michael,10,a,https://drive.google.com/open?id=12DLf7I2gAk2mjBHFed6EVTFvLo8J7hl7&authuser=nick@gauge.io,video,"I tried to use.The Apple screen recording twice.But at the end, it didnt seem to upload or pier in my photo file or anywhere else in so.Im recording this basically when I go to look for a new.Product as Im.Getting ready to do with the iPhone.Machine at theIPhone 10 and comparing it to Samsung seen if there s a reason that I might want to make the.Switch or not, Im pretty loyal, Apple fan because of?Their reliability.And customer service and you know features and quality of performance and everything else that Apple seems to do most of what they do a little better than.Others do it and.I seem to be the ones that little most part, the others are trying to copy now. Samsung is certainly made some.Big strides and you know picture quality and other things, and these are things that I look very.Carefully at but the first thing I would do here is go here and and review what the new iPhone is capable of I would.Definitely go here and watch.The videos I think 10 media disguised al vision for the future news or things that today in the picture quality or other things.You know try to avoid the Fluff and get down to really you know what is it? What is it capable rose?Im doing how well is it capable of doing that, you know, we were the areas where its where it has improved and so forth so I look at that I go through there.Read everything about it.A particular watch films that the.Show you know what its capable of you know like it. Can you make it can you make a nice feeling wanted to?What is this quality is slow motion light with the quality polety of the picture you know how long can you record?You know those types of things and then you know what is its compatibility with editing software and so forth so I look at all of those things and then after that.I will definitely go and all type in Apple.IPhone versusSamsung.In particular that you know the latest dinner.The latest versions Arthur Apple.10 Samsung Galaxy and here is a comparison here and Ill redo that comparison and look at the face off try to find sites that.Are.You know respectable sites.Ones that dive Ive heard of before you know, Zdnet CRN word of those both trusted reviews.Which would you pick you know C net user? How some things I usually go there and look at those as well?And then after Ive.Finish reading those are usually go to YouTube and because Im Im probably going to ******** to **** comparisons.There.That that show its performance in in real applications, so Ill type in iPhone.10 versusSamsung.9. Plus.And then youll see a bunch of different views. I like how recent they are so must go 3.8 million views 3.7 million views.Those are look like the 2.The ones with the most views so you know, Ill take a look at those first so long error see if I can hopefully.Skip the address is something Im really.Interested in guys go through watch the entire review.And theVideos by as of now, which one should you get honestly, the newer phone.Skype.Vance, but it doesnt seem the case here.Such as more advanced looking plate.Look at this type of thing and and see what the comparisons are.And but I will say that.Samsung for me would have to.Really just.Knock the socks off of Apple in some area that I was you know concerned about now would likely be in the video and photo area primarily in the video.Capability area other things, I look at it is, you know waterproofing because I do you know, kind of surfing and ************?As well andYou know be nice to not have to put that little plastic bag over it down when you go in the water with it.So you know that that is something else to look at but probably even even more than at is the.Customer service, you know with apples. Apple care now, I havent even I dont think I have.Hey Kurt, Alba Care policy in effect. Ive had you know several of them over the years and lately every time I call with the problem.You know, I dont give an application number back last. I heard like I said II dont think I have an apple care policy. I think my last one ended in 2014.But when I call primarily its usually I was a little something to do with the phone. But more often something to do with my pro app their final cut pro.App now on my computer, which is my computers. You know like a 2009 still running. Im even editing 4 K.Videos on it.And when I have a problem. I call up. I dont have to wait very long in the phone usually.Very rarely and when I get somebody I can make speak you know good English. I can understand them.And they really know their stuff and I always figure out a problem getting answers to you know how to do.Something I know there nots supposed to be so much a you know a tutoring place. But you know theyve been just exceptionally good to me if I had something that.You know, I thought youre supposed to be able to do with it, you know, I just found some kind of problem or obstacle.And I just didnt have time to go through a lot of research online or I tried little bit of research and couldnt find anything really solid.With respect to you know, an answer Ive been awake call them up, get one of those programs on the phone and you know a few minutes later.Were done, you know, Ive got the answer. And I get it just about every time and it saves me a great deal of time and I really.Really appreciate that.So.Hi I think it was done very, very smart thing in the way they have handled their customer service, which is complete.Opposite of some other big companies like Amazon and.And Oh my goodness, Facebook just just to hold absolute worst you know they try to do everything in a very impersonal way, and make it go online and look up through there.Volumes of information everything in it, often times it just doesnt apply its unique situation. You cant find contact for a title that really deals with the issue youre having.And they just put this giant brick wall up between you and any human beings and I really despise that I think its.You know, fortunately for them, theyve gotta be so huge they can get away with just horrible horrible customer service.But.You know, I see how it can be done with Apple and also a huge company and they provide you know, fantastic customer service so.Thats that s a big factor for me well. Im getting to the end of my tennis. I basically go through the same process with anything.No go to Busch different sized get the reviews find out really well, Im getting.And whether its the camera or television or you know, whatever it is from a technology standpoint, so there, you go.",Upgrading," As I mentioned, I am most impressed with the Apple Care type of warranty that includes being able to get someone on the phone who cares about your issue, is very knowledgeable and will help you, whether it concerns a problem or malfunction, or the use of a feature.
 
 As far as the cost, I would have to have a detailed comparison. I would want to know if it covers everything the other warranty does and a clear understanding of the comparative benefits.
 
 My concern would be the those who I would have to go to for help were not as knowledgeable of the product as the manufacturer of that product. The term “third party” always seems to mean “inferior.” Overcoming that would be important.",,,,,
128,Michael,11,a,https://drive.google.com/open?id=10c6a9KxAHclPyBB9ykacdkRIOMIXOSqR&authuser=nick@gauge.io,video,"You can see here.
 All the follow up emails I received for different
 Support cases.
 So I put it to pretty good use and.
 Probably this does not by any means represent.
 All of them I received and all the times, Ive called them.",AppleCare,," I don’t know if any other extended warranties. I only can recall one incident wherein I went with a third party warranty and that was on a phone. Unfortunately, I had to use it but it was pretty much worthless, because I was able to repair the screen through another third party for less than the deductible.",,,,
128,Michael,8,a,https://drive.google.com/open?id=11RZPsTzeM3gFNvoIng8r2AWWXCzcTrSH&authuser=nick@gauge.io,photo,,"...and this, do not work.",," Typically, we unplug and reset everything. That usually works. If not, we call the internet provider. They typically find a way to fix it. If not, we call the TV manufacturer, but only recall ever doing that once or twice when we first purchased the not so smart, smart TV.
 
 Again, I think anyone offering third party warranties or extended care, should look at what Apple does.
 
 They probably could not compete with Apple, but likely could with other companies, especially with having a human to speak with and quickly address the issue and resolve it. But then again, I value the customer service and problem solving more than the break it, fix it part.",,,,
128,Michael,8,b,https://drive.google.com/open?id=11OgHmxvo3sZ-zEetr2cSHrGkm-u92d97&authuser=nick@gauge.io,photo,,This....,,,,,,
128,Michael,8,c,https://drive.google.com/open?id=11MiydcgsUpj7ZIkT1n0w1Zv7lJYl_CXv&authuser=nick@gauge.io,photo,,Or this isn’t working....,,,,,,
128,Michael,8,d,https://drive.google.com/open?id=11KX3I0-_occqQVjmBSNbPrxZ1vuRtfHC&authuser=nick@gauge.io,photo,,When this isn’t working....,,,,,,
128,Michael,8,e,https://drive.google.com/open?id=11Jo4MNi8GuFYkW8HZd2Nzq1RZDMsGjPj&authuser=nick@gauge.io,photo,,"D.A.D.®️2
 Peace of mind
 Freedom
 Never alone
 
 Sony A7III
 Stunning images
 Enhanced capabilities
 Beautiful memories"," In both cases, ability and dependability are critical.",,,,,
